  0.58	  0.61	  0.47	  0.13	  0.50	  0.00	  0.48	  0.22
  0.43	  0.67	  0.48	  0.27	  0.50	  0.00	  0.53	  0.22
  0.64	  0.62	  0.49	  0.15	  0.50	  0.00	  0.53	  0.22
  0.42	  0.44	  0.48	  0.54	  0.50	  0.00	  0.48	  0.22
  0.50	  0.54	  0.48	  0.65	  0.50	  0.00	  0.53	  0.22
  0.55	  0.50	  0.66	  0.36	  0.50	  0.00	  0.49	  0.22
  0.60	  0.40	  0.52	  0.46	  0.50	  0.00	  0.53	  0.22
  0.66	  0.55	  0.45	  0.19	  0.50	  0.00	  0.46	  0.22
  0.51	  0.51	  0.52	  0.51	  0.50	  0.00	  0.54	  0.22
  0.63	  0.67	  0.57	  0.24	  0.50	  0.00	  0.49	  0.22
  0.45	  0.58	  0.48	  0.67	  0.50	  0.00	  0.52	  0.22
  0.43	  0.35	  0.52	  0.52	  0.50	  0.00	  0.54	  0.22
  0.60	  0.50	  0.44	  0.61	  0.50	  0.00	  0.47	  0.22
  0.45	  0.55	  0.54	  0.66	  0.50	  0.00	  0.47	  0.22
  0.46	  0.49	  0.58	  0.23	  0.50	  0.00	  0.44	  0.22
  0.49	  0.42	  0.56	  0.55	  0.50	  0.00	  0.42	  0.25
  0.63	  0.53	  0.54	  0.40	  0.50	  0.00	  0.50	  0.22
  0.50	  0.54	  0.53	  0.54	  0.50	  0.00	  0.51	  0.27
  0.63	  0.57	  0.59	  0.40	  0.50	  0.00	  0.38	  0.22
  0.43	  0.57	  0.51	  0.49	  0.50	  0.00	  0.48	  0.22
  0.48	  0.45	  0.55	  0.50	  0.50	  0.00	  0.53	  0.22
  0.50	  0.58	  0.46	  0.46	  0.50	  0.00	  0.46	  0.22
  0.51	  0.54	  0.60	  0.57	  0.50	  0.00	  0.58	  0.22
  0.54	  0.52	  0.63	  0.37	  0.50	  0.00	  0.46	  0.22
  0.67	  0.62	  0.40	  0.43	  0.50	  0.83	  0.50	  0.22
  0.46	  0.38	  0.47	  0.22	  0.50	  0.00	  0.52	  0.27
  0.61	  0.72	  0.39	  0.33	  0.50	  0.00	  0.58	  0.22
  0.78	  0.75	  0.40	  0.28	  0.50	  0.00	  0.53	  0.22
  0.45	  0.45	  0.50	  0.60	  0.50	  0.00	  0.49	  0.22
  0.59	  0.67	  0.56	  0.41	  0.50	  0.00	  0.47	  0.22
  0.47	  0.47	  0.57	  0.48	  0.50	  0.00	  0.48	  0.22
  0.35	  0.52	  0.48	  0.22	  0.50	  0.00	  0.26	  0.22
  0.47	  0.41	  0.66	  0.26	  0.50	  0.00	  0.53	  0.22
  0.64	  0.62	  0.29	  0.28	  0.50	  0.00	  0.51	  0.22
  0.55	  0.53	  0.55	  0.46	  0.50	  0.00	  0.52	  0.22
  0.67	  0.62	  0.54	  0.43	  0.50	  0.00	  0.53	  0.22
  0.59	  0.60	  0.49	  0.43	  0.50	  0.00	  0.53	  0.31
  0.58	  0.62	  0.54	  0.17	  0.50	  0.00	  0.48	  0.22
  0.71	  0.59	  0.48	  0.43	  0.50	  0.00	  0.59	  0.22
  0.52	  0.51	  0.51	  0.54	  0.50	  0.00	  0.55	  0.27
  0.63	  0.56	  0.45	  0.58	  0.50	  0.00	  0.51	  0.22
  0.52	  0.56	  0.54	  0.53	  0.50	  0.00	  0.45	  0.22
  0.58	  0.58	  0.58	  0.49	  0.50	  0.00	  0.49	  0.26
  0.72	  0.62	  0.34	  0.29	  0.50	  0.00	  0.56	  0.28
  0.72	  0.61	  0.37	  0.30	  0.50	  0.00	  0.57	  0.22
  0.46	  0.43	  0.38	  0.33	  0.50	  0.00	  0.48	  0.28
  0.57	  0.57	  0.44	  0.37	  0.50	  0.00	  0.52	  0.25
  0.42	  0.31	  0.62	  0.12	  0.50	  0.00	  0.40	  0.22
  0.49	  0.46	  0.45	  0.45	  0.50	  0.00	  0.52	  0.22
  0.42	  0.58	  0.41	  0.65	  0.50	  0.00	  0.46	  0.26
  0.53	  0.51	  0.46	  0.28	  0.50	  0.00	  0.48	  0.22
  0.35	  0.66	  0.49	  0.21	  0.50	  0.00	  0.54	  0.25
  0.52	  0.40	  0.60	  0.12	  0.50	  0.00	  0.55	  0.22
  0.77	  0.79	  0.58	  0.23	  0.50	  0.00	  0.48	  0.22
  0.73	  0.83	  0.43	  0.30	  0.50	  0.00	  0.55	  0.22
  0.78	  0.74	  0.58	  0.25	  1.00	  0.00	  0.53	  0.22
  0.70	  0.65	  0.54	  0.28	  0.50	  0.00	  0.60	  0.40
  0.47	  0.54	  0.37	  0.14	  0.50	  0.00	  0.50	  0.22
  0.56	  0.52	  0.48	  0.17	  0.50	  0.00	  0.46	  0.22
  0.57	  0.41	  0.59	  0.24	  0.50	  0.00	  0.40	  0.22
  0.56	  0.41	  0.58	  0.21	  0.50	  0.00	  0.42	  0.22
  0.58	  0.56	  0.45	  0.12	  0.50	  0.00	  0.51	  0.22
  0.53	  0.38	  0.66	  0.25	  0.50	  0.00	  0.43	  0.22
  0.34	  0.36	  0.54	  0.11	  0.50	  0.00	  0.36	  0.21
  0.69	  0.61	  0.38	  0.27	  0.50	  0.00	  0.52	  0.22
  0.37	  0.53	  0.60	  0.19	  0.50	  0.50	  0.42	  0.22
  0.41	  0.45	  0.53	  0.17	  0.50	  0.00	  0.51	  0.25
  0.31	  0.46	  0.54	  0.52	  0.50	  0.00	  0.50	  0.34
  0.36	  0.37	  0.33	  0.14	  0.50	  0.00	  0.57	  0.31
  0.82	  0.78	  0.49	  0.23	  0.50	  0.00	  0.46	  0.22
  0.82	  0.75	  0.54	  0.23	  0.50	  0.00	  0.46	  0.22
  0.41	  0.51	  0.58	  0.15	  0.50	  0.00	  0.45	  0.27
  0.38	  0.51	  0.75	  0.17	  0.50	  0.00	  0.55	  0.22
  0.38	  0.51	  0.75	  0.17	  0.50	  0.00	  0.55	  0.22
  0.45	  0.27	  0.57	  0.36	  0.50	  0.00	  0.52	  0.18
  0.20	  0.26	  0.52	  0.14	  0.50	  0.00	  0.53	  0.44
  0.51	  0.53	  0.55	  0.14	  0.50	  0.00	  0.51	  0.22
  0.55	  0.42	  0.34	  0.30	  0.50	  0.00	  0.52	  0.22
  0.34	  0.42	  0.30	  0.23	  0.50	  0.00	  0.53	  0.22
  0.44	  0.53	  0.52	  0.23	  0.50	  0.83	  0.51	  0.22
  0.59	  0.58	  0.56	  0.21	  0.50	  0.00	  0.54	  0.33
  0.39	  0.28	  0.46	  0.12	  0.50	  0.00	  0.41	  0.22
  0.56	  0.43	  0.54	  0.16	  0.50	  0.00	  0.50	  0.22
  0.43	  0.39	  0.54	  0.14	  0.50	  0.00	  0.47	  0.22
  0.50	  0.51	  0.52	  0.09	  0.50	  0.00	  0.48	  0.25
  0.53	  0.61	  0.52	  0.21	  0.50	  0.00	  0.55	  0.30
  0.54	  0.42	  0.41	  0.16	  0.50	  0.00	  0.52	  0.22
  0.46	  0.35	  0.53	  0.16	  0.50	  0.00	  0.51	  0.29
  0.46	  0.43	  0.49	  0.79	  0.50	  0.00	  0.49	  0.63
  0.51	  0.55	  0.35	  0.16	  0.50	  0.00	  0.51	  0.47
  0.56	  0.52	  0.55	  0.19	  0.50	  0.00	  0.54	  0.22
  0.61	  0.30	  0.59	  0.12	  0.50	  0.00	  0.49	  0.27
  0.37	  0.53	  0.46	  0.23	  0.50	  0.00	  0.47	  0.22
  0.83	  0.58	  0.33	  0.04	  0.50	  0.00	  0.53	  0.22
  0.39	  0.45	  0.53	  0.18	  0.50	  0.00	  0.54	  0.22
  0.52	  0.54	  0.50	  0.21	  0.50	  0.00	  0.48	  0.30
  0.35	  0.39	  0.57	  0.11	  0.50	  0.00	  0.48	  0.22
  0.36	  0.49	  0.30	  0.22	  0.50	  0.00	  0.52	  0.31
  0.78	  0.70	  0.32	  0.23	  0.50	  0.00	  0.53	  0.22
  0.55	  0.46	  0.53	  0.11	  0.50	  0.00	  0.52	  0.48
